Bergeron,Marc-Andre Bergeron,D,TBL,13 Oct 1980,"Trois-Rivieres, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8469765
Berlinquette,Louis Berlinquette,L,"","","Papineau, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445071
Berry,Bob Berry,L,"",29 Nov 1943,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445072
Bertrand,Eric Bertrand,L,"",16 Apr 1975,"St-Ephrem, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8460014
Bibeault,Paul Bibeault,G,"",13 Apr 1919,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8449823
Binette,Andre Binette,G,"",2 Dec 1933,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8449824
Blaine,Garry Blaine,R,"",19 Apr 1933,"St. Boniface, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445091
Blake,Toe Blake,L,"",21 Aug 1912,"Victoria Mines, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445098
Blouin,Sylvain Blouin,L,"",21 May 1974,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8460015
Blunden,Mike Blunden,R,MTL,15 Dec 1986,"Toronto, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8471663
Boisvert,Serge Boisvert,R,"",1 Jun 1959,"Drummondville, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445582
Bonin,Marcel Bonin,L,"",12 Sep 1932,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445116
Bonk,Radek Bonk,C,"",9 Jan 1976,"Krnov, CZE",http://canadiens.nhl.com/club/player.htm?id=8460105
Bordeleau,Christian Bordeleau,C,"",23 Sep 1947,"Noranda, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445126
Bordeleau,Sebastien Bordeleau,C,"",15 Feb 1975,"Vancouver, BC, CAN",http://canadiens.nhl.com/club/player.htm?id=8459494
Bouchard,Butch Bouchard,D,"",11 Sep 1920,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445132
Bouchard,Edmond Bouchard,L,"",24 May 1892,"St-Etienne, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445131
Bouchard,Pierre Bouchard,D,"",20 Feb 1948,"Longueuil, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445612
Boucher,Billy Boucher,R,"",10 Nov 1899,"Ottawa, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445133
Boucher,Bobby Boucher,C,"",14 Feb 1904,"Ottawa, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445136
Boudrias,Andre Boudrias,L,"",19 Sep 1943,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445137
Bouillon,Francis Bouillon,D,NSH,17 Oct 1975,"New York City, NY, USA",http://canadiens.nhl.com/club/player.htm?id=8465914
Bourcier,Conrad Bourcier,C,"",28 May 1916,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445140
Bourcier,Jean Bourcier,L,"",3 Jan 1911,"Montreal, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445141
Bourgeault,Leo Bourgeault,D,"",17 Jan 1903,"Sturgeon Falls, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8445142
Bourque,Claude Bourque,G,"",31 Mar 1915,"Oxford, NS, CAN",http://canadiens.nhl.com/club/player.htm?id=8449833
Bownass,Jack Bownass,D,"",27 Jul 1930,"Winnipeg, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445147
