Gord Fraser
Frank Fredrickson
Jeff Friesen
Harry Frost
Robbie Ftorek
Grant Fuhr
Johnny Gagnon
Bob Gainey
Dutch Gainor
Percy Galbraith
John Gallagher
Bruce Gamble
Dick Gamble
Charlie Gardiner
Cal Gardner
Jimmy Gardner
Mathieu Garon
Dave Gatherum
Horace Gaul
Jean Gauthier
George Gee
Martin Gélinas
Dennis Gendron
Bernie Geoffrion
Eddie Gerard
Martin Gerber
Ray Getliffe
Ryan Getzlaf
François Giguère
Jean-Sébastien Giguère
Greg Gilbert
Brent Gilchrist
Randy Gilhen
Dave Gill
Hal Gill
Clark Gillies
Billy Gilmour
Dave Gilmour
Doug Gilmour
Larry Gilmour
Suddy Gilmour
Gaston Gingras
Brian Gionta
Art Giroux
Eddie Giroux
Frank Glass
Fred Glover
Eric Godard
Bob Goldham
Leroy Goldsworthy
Hank Goldup
Alex Goligoski
Scott Gomez
Sergei Gonchar
Larry Goodenough
Ebbie Goodfellow
Paul Goodman
Butch Goring
Edwin Gorman
Tommy Gorman
Johnny Gottselig
Michel Goulet
Phil Goyette
Bob Gracie
Leth Graham
Charlotte Grahame
John Grahame
Danny Grant
Mike Grant
Adam Graves
Alex Gray
Norman Green
Pete Green
Red Green
Rick Green
Ted Green
Randy Gregg
Lucien Grenier
Wayne Gretzky
Si Griffis
Don Grosso
Irving Grundman
Bill Guerin
Alexei Gusarov
Billy Hague
Gordon Haidy
George Hainsworth
Haldor Halderson
Glenn Hall
Joe Hall
Kevin Haller
Milt Halliday
Mats Hallin
Red Hamill
Reg Hamilton
Dave Hannan
Glen Harmon
Terry Harper
Hinky Harris
Ted Harris
James Harriston
Cecil Hart
Gizzy Hart
Mark Hartigan
Bob Hartley
Mike Hartman
Doug Harvey
Dominik Hašek
Bob Hassard
Derian Hatcher
Bill Hay
Jim Hay
Chris Hayes
Glenn Healy
Bret Hedican
Gerald Heffernan
Milan Hejduk
Ehrhardt Heller
Darren Helm
Harry Helman
Jordan Hendry
Lorne Henning
Sean Henry
Riley Hern
Bryan Hextall
Bill Hicke
Tom Hicks
Wayne Hicks
Fred Higginbotham
Mel Hill
Sean Hill
Wilbert Hiller
Randy Hillier
Larry Hillman
Wayne Hillman
Dan Hinote
Ken Hitchcock
Lionel Hitchman
Niklas Hjalmarsson
Shane Hnidy
Charlie Hodge
Ken Hodge
Kevin Hodson
Dale Hoganson
Benoît Hogue
Bobby Holík
Ken Holland
Flash Hollett
Hap Holmes
Tomas Holmström
Johnny Holota
Albert Holway
Tom Hooper
George Horne
Red Horner
Nathan Horton
Tim Horton
Bronco Horvath
Marián Hossa
Harley Hotchkiss
Réjean Houle
Jimmy Howard
Gordie Howe
Mark Howe
Syd Howe
Harry Howell
Jiří Hrdina
Tony Hrkac
Fred Huber
Charlie Huddy
Jiří Hudler
Fred Hudson
Mike Hudson
Cristobal Huet
Pat Hughes
Bobby Hull
Brett Hull
Walter Humeniuk
Dave Hunter
Mark Hunter
Tim Hunter
Kent Huskins
Andrew Hutchinson
Bouse Hutton
Harry Hyland
Marian Ilitch
Mike Ilitch
Punch Imlach
Dick Irvin
Tommy Ivan
Ric Jackman
Art Jackson
Busher Jackson
Harold Jackson
Les Jackson
Stan Jackson
Jaromír Jágr
Doug Jarvis
Larry Jeffrey
Roger Jenkins
Grant Jennings
Bob Johnson
Earl Johnson
Moose Johnson
Ching Johnson
Lowry Johnson
Tom Johnson
Virgil Johnson
Eddie Johnston
Marshall Johnston
Ross Johnstone
Aurèle Joliat
Tomas Jonsson
Claude Julien
Bill Juzda
František Kaberle
Tomáš Kaberle
Anders Kallur
Steven Kampfer
Rudolph Kampman
Patrick Kane
Mike Karakas
"Peter Karmanos, Jr."
Alexander Karpovtsev
Mike Keane
Butch Keeling
Mike Keenan
Rick Kehoe
Duncan Keith
Bob Kelly
Chris Kelly
Pete Kelly
Red Kelly
Steve Kelly
Bill Kendall
George Kennedy
Ted Kennedy
