Adams,Johnny Ned Adams,Knight,2006,Nord-du-Québec,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=2184
Auger,François A. Auger,Knight,2003,Capitale-Nationale,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=1799
Batshaw,Manuel G. Batshaw,Knight,1995,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=169
Beaubien,Jeanine C. Beaubien,Officer,2004,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=457
Beaulieu,Charles E. Beaulieu,Knight,1998,Capitale-Nationale,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=171
Beaulieu,Jacques A. Beaulieu,Grand Officer,1999,Capitale-Nationale,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=352
Benessahraoui,El Habib Benessahraoui,Knight,2007,Outside Canada,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=2336
Bergeron,Michel G. Bergeron,Officer,2008,Capitale-Nationale,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=485
Bergeron Ling,Louise Bergeron Ling,Knight,2005,Lanaudière,true,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=1981
Blais,Roger A. Blais,Officer,1995,Laval,true,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=66
Bourassa,Martial G. Bourassa,Knight,1999,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=368
Boyd,Robert A. Boyd,Officer,2001,Montérégie,true,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=1561
Brown,Robert E. Brown,Officer,2007,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=2116
Cabot,Francis Higginson Cabot,Knight,2000,Capitale-Nationale,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=1584
Cain,Michael H. Cain,Knight,2005,SaguenayLac-Saint-Jean,true,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=1976
Chung,Young Sup Chung,Knight,1993,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=199
Cloutier,Gilles G. Cloutier,Officer,1989,Laval,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=77
Cohen,Morley Mitchell Cohen,Knight,1995,Montréal,true,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=200
Cormier,Monique C. Cormier,Knight,2011,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=2720
Cyrenne,Roland O. Cyrenne,Knight,1997,Laval,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=203
Dalcourt Gauvin,Andrée Dalcourt Gauvin,Knight,2005,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=1925
Dallaire,Roméo A. Dallaire,Grand Officer,2005,Capitale-Nationale,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=665
de Champlain,Jacques de Champlain,Officer,1999,Montréal,true,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=357
De Grandpré,Louis-Philippe De Grandpré,Grand Officer,1998,Montérégie,true,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=28
De Koninck,Jean-Marie De Koninck,Knight,1999,Capitale-Nationale,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=373
de la Sablonnière,Marcel de la Sablonnière,Knight,1988,Montréal,true,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=207
De Ravinel,Hubert De Ravinel,Knight,2002,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=1406
De Tonnancour,Jacques De Tonnancour,Officer,1993,Montréal,true,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=85
De Vilallonga Rosell,Jesus Carlos De Vilallonga Rosell,Knight,2011,Outside Canada,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=2817
de Villers,Marie-Éva de Villers,Knight,1999,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=375
Desmarais jr,Paul Desmarais jr,Officer,2009,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=2557
Douglas,James H. Douglas,Officer,2010,Outside Canada,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=2679
Dumesnil,Jean G. Dumesnil,Knight,2004,Capitale-Nationale,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=1955
Dupuis Angers,Renée Dupuis Angers,Officer,1996,Montréal,true,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=92
Elhilali,Mostafa M. Elhilali,Officer,2009,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=2476
Feindel,William Howard Feindel,Grand Officer,2002,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=1712
Fernet Gervais,Solange Fernet Gervais,Knight,1993,Mauricie,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=219
Ferretti Barth,Marisa Ferretti Barth,Knight,2008,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=770
Fortier,L. Yves Fortier,Officer,2006,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=780
Freedman,Samuel O. Freedman,Knight,2004,Montréal,false,http://www.ordre-national.gouv.qc.ca/membres/membre-en.asp?id=1683
