250,Delisle,0.076
251,Desmarais,0.076
252,Laberge,0.076
253,Nault,0.076
254,Bourgeois,0.075
255,Lafrance,0.075
256,Lagacé,0.075
257,Daoust,0.075
258,Brault,0.074
259,Castonguay,0.074
260,Vallières,0.074
261,Pellerin,0.074
262,Rivest,0.074
263,Brochu,0.074
264,Samson,0.074
265,Lépine,0.074
266,Leroux,0.073
267,Larochelle,0.073
268,Brousseau,0.073
269,Sauvé,0.073
270,Laurin,0.073
271,Clément,0.073
272,Bissonnette,0.072
273,Lajoie,0.072
274,Aubin,0.072
275,Doyon,0.072
276,Labrie,0.071
277,Grondin,0.071
278,Faucher,0.071
279,Corriveau,0.07
280,Tétreault,0.07
281,Bourque,0.07
282,Dagenais,0.07
283,Ducharme,0.07
284,Carrière,0.07
285,Duquette,0.07
286,Lafleur,0.07
287,Langevin,0.068
288,Corbeil,0.068
289,Bourassa,0.068
290,Pagé,0.068
291,Trudeau,0.068
292,Gaudet,0.068
293,Cantin,0.068
294,Goyette,0.068
295,Boyer,0.067
296,Francoeur,0.067
297,St-Louis,0.067
298,Barrette,0.067
299,Vigneault,0.067
300,Ouimet,0.067
301,Baril,0.066
302,Lafrenière,0.066
303,Meunier,0.066
304,Laporte,0.066
305,Joseph,0.066
306,Brodeur,0.066
307,Legaré,0.065
308,Lafond,0.065
309,Ross,0.065
310,Maheux,0.065
311,Rondeau,0.064
312,Marquis,0.064
313,Bastien,0.064
314,Plouffe,0.063
315,Bouffard,0.063
316,Lacombe,0.063
317,Talbot,0.063
318,Julien,0.063
319,Rouleau,0.063
320,Roussel,0.062
321,Guérin,0.062
322,Boulianne,0.062
323,Beaupré,0.062
324,Éthier,0.062
325,Dussault,0.062
326,Lamarche,0.062
327,Gallant,0.062
328,Gauvin,0.062
329,Lamothe,0.062
330,Joly,0.061
331,Robichaud,0.061
332,Léveillé,0.06
333,Bellemare,0.06
334,Huard,0.06
335,Garneau,0.06
336,Levasseur,0.06
337,Dubuc,0.06
338,Millette,0.06
339,Poitras,0.06
340,Rochon,0.059
341,Brière,0.059
342,Guimond,0.059
343,Hudon,0.059
344,Auclair,0.058
345,Beauchemin,0.058
346,Brisebois,0.058
347,Godbout,0.058
348,Guilbault,0.058
349,Cadieux,0.057
350,Brown,0.057
351,Durocher,0.057
352,Lamarre,0.057
353,Ricard,0.057
354,Monette,0.057
355,Cardinal,0.056
356,Tran,0.056
357,St-Hilaire,0.056
358,Jobin,0.056
359,Daigneault,0.056
360,Chamberland,0.055
361,Deschamps,0.055
362,Beaudin,0.055
363,Henry,0.054
364,Boulet,0.054
365,Collin,0.053
366,Sabourin,0.053
367,Deslauriers,0.053
368,Dumais,0.053
369,Gamache,0.053
370,Messier,0.053
371,Beaudet,0.053
372,Pilote,0.053
373,Berthiaume,0.052
374,Cossette,0.052
375,Hamelin,0.052
376,Rhéaume,0.052
377,Campeau,0.052
378,Mallette,0.051
379,Fleury,0.051
380,Patry,0.051
381,St-Amand,0.051
382,Gariépy,0.051
383,David,0.051
384,Viens,0.051
385,Veillette,0.051
386,Blanchard,0.051
387,Binette,0.051
388,Lebrun,0.05
389,St-Germain,0.05
390,Ladouceur,0.05
391,Fiset,0.05
392,Moisan,0.05
393,Loiselle,0.049
394,Comeau,0.049
395,Mailhot,0.049
396,Doré,0.049
397,Déry,0.049
398,Mailloux,0.049
399,Forest,0.049
400,Huot,0.049
401,Morneau,0.049
402,Allaire,0.049
403,Viau,0.049
